author,communityId,publications
S. Altschul,0,"Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.; Generation and initial analysis of more than 15,000 full-length human and mouse cDNA sequences"
Thomas L. Madden,1,"Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.; BLAST+: architecture and applications; Database resources of the National Center for Biotechnology Information; Primer-BLAST: A tool to design target-specific primers for polymerase chain reaction; Database resources of the National Center for Biotechnology Information: update; BLAST 2 Sequences, a new tool for comparing protein and nucleotide sequences.; BLAST: at the core of a powerful and diverse set of sequence analysis tools"
A. Schäffer,2,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.
Jinghui Zhang,3,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.
Zheng Zhang,4,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.; A Greedy Algorithm for Aligning DNA Sequences
W. Miller,5,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.; A Greedy Algorithm for Aligning DNA Sequences; Galaxy: a platform for interactive large-scale genome analysis.
D. Lipman,6,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.; Rapid and sensitive protein similarity searches.; Database resources of the National Center for Biotechnology Information
Jia Deng,7,ImageNet: A large-scale hierarchical image database
Wei Dong,8,ImageNet: A large-scale hierarchical image database
R. Socher,9,ImageNet: A large-scale hierarchical image database
Li-Jia Li,10,ImageNet: A large-scale hierarchical image database
K. Li,11,ImageNet: A large-scale hierarchical image database
Li Fei-Fei,12,ImageNet: A large-scale hierarchical image database; One-shot learning of object categories
A. Bandura,13,Self-Efficacy: The Exercise of Control
Priyanka Shahi,14,Argonaute—a database for gene regulation by mammalian microRNAs
Serguei Loukianiouk,15,Argonaute—a database for gene regulation by mammalian microRNAs
Andreas Bohne-Lang,16,Argonaute—a database for gene regulation by mammalian microRNAs
M. Kenzelmann,17,Argonaute—a database for gene regulation by mammalian microRNAs
Stefan Küffer,18,Argonaute—a database for gene regulation by mammalian microRNAs
S. Maertens,19,Argonaute—a database for gene regulation by mammalian microRNAs
Roland Eils,20,Argonaute—a database for gene regulation by mammalian microRNAs
H. Gröne,21,Argonaute—a database for gene regulation by mammalian microRNAs
Norbert Gretz,22,Argonaute—a database for gene regulation by mammalian microRNAs
Benedikt Brors,23,Argonaute—a database for gene regulation by mammalian microRNAs
D. Lowe,24,Distinctive Image Features from Scale-Invariant Keypoints
Zhou Wang,25,Image quality assessment: from error visibility to structural similarity
A. Bovik,26,Image quality assessment: from error visibility to structural similarity; Making a “Completely Blind” Image Quality Analyzer
H. Sheikh,27,Image quality assessment: from error visibility to structural similarity
Eero P. Simoncelli,28,Image quality assessment: from error visibility to structural similarity
M. Egger,29,"Bias in meta-analysis detected by a simple, graphical test"
G. Smith,30,"Bias in meta-analysis detected by a simple, graphical test"
Martin Schneider,31,"Bias in meta-analysis detected by a simple, graphical test"
C. Minder,32,"Bias in meta-analysis detected by a simple, graphical test"
K. Tamura,33,"MEGA5: molecular evolutionary genetics analysis using maximum likelihood, evolutionary distance, and maximum parsimony methods.; MEGA4: Molecular Evolutionary Genetics Analysis (MEGA) software version 4.0.; MEGA3: Integrated software for Molecular Evolutionary Genetics Analysis and sequence alignment; MEGA 5 : Molecular Evolutionary Genetics Analysis using Maximum Likelihood , Evolutionary Distance , and Maximum Parsimony Methods"
D. Peterson,34,"MEGA5: molecular evolutionary genetics analysis using maximum likelihood, evolutionary distance, and maximum parsimony methods.; MEGA 5 : Molecular Evolutionary Genetics Analysis using Maximum Likelihood , Evolutionary Distance , and Maximum Parsimony Methods"
N. Peterson,35,"MEGA5: molecular evolutionary genetics analysis using maximum likelihood, evolutionary distance, and maximum parsimony methods.; MEGA 5 : Molecular Evolutionary Genetics Analysis using Maximum Likelihood , Evolutionary Distance , and Maximum Parsimony Methods"
G. Stecher,36,"MEGA5: molecular evolutionary genetics analysis using maximum likelihood, evolutionary distance, and maximum parsimony methods.; MEGA 5 : Molecular Evolutionary Genetics Analysis using Maximum Likelihood , Evolutionary Distance , and Maximum Parsimony Methods"
M. Nei,37,"MEGA5: molecular evolutionary genetics analysis using maximum likelihood, evolutionary distance, and maximum parsimony methods.; MEGA4: Molecular Evolutionary Genetics Analysis (MEGA) software version 4.0.; MEGA3: Integrated software for Molecular Evolutionary Genetics Analysis and sequence alignment"
Sudhir Kumar,38,"MEGA5: molecular evolutionary genetics analysis using maximum likelihood, evolutionary distance, and maximum parsimony methods.; MEGA4: Molecular Evolutionary Genetics Analysis (MEGA) software version 4.0.; MEGA3: Integrated software for Molecular Evolutionary Genetics Analysis and sequence alignment"
A. Subramanian,39,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles; Molecular signatures database (MSigDB) 3.0
P. Tamayo,40,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles; The Molecular Signatures Database Hallmark Gene Set Collection; The Molecular Signatures Database (MSigDB) hallmark gene set collection.; Interpreting patterns of gene expression with self-organizing maps: methods and application to hematopoietic differentiation.
V. Mootha,41,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles
Sayan Mukherjee,42,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles
B. Ebert,43,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles
Michael A. Gillette,44,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles
A. Paulovich,45,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles
S. Pomeroy,46,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles
T. Golub,47,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles; Interpreting patterns of gene expression with self-organizing maps: methods and application to hematopoietic differentiation.
E. Lander,48,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles; Interpreting patterns of gene expression with self-organizing maps: methods and application to hematopoietic differentiation.
J. Mesirov,49,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles; The Molecular Signatures Database Hallmark Gene Set Collection; Molecular signatures database (MSigDB) 3.0; The Molecular Signatures Database (MSigDB) hallmark gene set collection.; Interpreting patterns of gene expression with self-organizing maps: methods and application to hematopoietic differentiation.
Paul Shannon,50,Cytoscape: a software environment for integrated models of biomolecular interaction networks.
Andrew Markiel,51,Cytoscape: a software environment for integrated models of biomolecular interaction networks.
