author1,author2,similarity
'Eric Aubourg,B. Abel,1.0
'Eric Aubourg,D. Alonso,1.0
'Eric Aubourg,Emily Acosta,1.0
'Eric Aubourg,J. Andrew,1.0
'Eric Aubourg,J. Tyson,1.0
'Eric Aubourg,R. Allsman,1.0
'Eric Aubourg,S. Anderson,1.0
'Eric Aubourg,S. Kahn,1.0
'Eric Aubourg,Y. AlSayyad,1.0
'Eric Aubourg,vZeljko Ivezi'c,1.0
A. A. Farmer,B. Zeeberg,1.0
A. A. Farmer,C. M. Shenmen,1.0
A. A. Farmer,C. Schaefer,1.0
A. A. Farmer,E. Feingold,1.0
A. A. Farmer,F. Collins,1.0
A. A. Farmer,J. G. Derge,1.0
A. A. Farmer,K. Buetow,1.0
A. A. Farmer,L. Grouse,1.0
A. A. Farmer,R. Klausner,1.0
A. A. Farmer,R. Strausberg,1.0
A. A. Logadottir,H. Jónsson,1.0
A. A. Logadottir,L. Lindqvist,1.0
A. A. van de Loosdrecht,D. Bowen,1.0
A. A. van de Loosdrecht,F. Dreyfus,1.0
A. A. van de Loosdrecht,F. Solé,1.0
A. A. van de Loosdrecht,G. Garcia-Manero,1.0
A. A. van de Loosdrecht,G. Sanz,1.0
A. A. van de Loosdrecht,H. Tuechler,1.0
A. A. van de Loosdrecht,J. Bennett,1.0
A. A. van de Loosdrecht,J. Schanz,1.0
A. A. van de Loosdrecht,P. Fenaux,1.0
A. A. van de Loosdrecht,P. Greenberg,1.0
A. Adjei,J. Molina,1.0
A. Adjei,Ping Yang,1.0
A. Adjei,S. Cassivi,1.0
A. Adjei,S. Schild,1.0
A. Afifi,V. Clark,1.0
A. Aikin,A. Hedin,1.0
A. Aikin,D. Drob,1.0
A. Aikin,J. Picone,1.0
A. Amaro,A. F. Florensa,1.0
A. Amaro,A. Philippon,1.0
A. Amaro,A. R. Rebelo,1.0
A. Amaro,E. Ruppé,1.0
A. Amaro,M. Roberts,1.0
A. Amaro,R. Allesøe,1.0
A. Amaro,R. Kaas,1.0
A. Amaro,S. Schwarz,1.0
A. Amaro,V. Cattoir,1.0
A. Amaro,Valeria Bortolaia,1.0
A. Ananthakrishnan,Cesar Arze,1.0
A. Ananthakrishnan,Colin J. Brislawn,1.0
A. Ananthakrishnan,D. Casero,1.0
A. Ananthakrishnan,E. Andrews,1.0
A. Ananthakrishnan,J. Lloyd-Price,1.0
A. Ananthakrishnan,J. Ávila-Pacheco,1.0
A. Ananthakrishnan,K. Bonham,1.0
A. Ananthakrishnan,M. Schirmer,1.0
A. Ananthakrishnan,N. Ajami,1.0
A. Ananthakrishnan,Tiffany W. Poon,1.0
A. Apprill,L. Weber,1.0
A. Apprill,R. Parsons,1.0
A. Apprill,Sean P. McNally,1.0
A. Apter,A. Beautrais,1.0
A. Apter,A. Haas,1.0
A. Apter,A. Marušič,1.0
A. Apter,D. Currier,1.0
A. Apter,J. Bertolote,1.0
A. Apter,J. Lonnqvist,1.0
A. Apter,J. Mann,1.0
A. Apter,K. Malone,1.0
A. Apter,L. Mehlum,1.0
A. Apter,U. Hegerl,1.0
A. Armstrong,E. Foster,1.0
A. Armstrong,F. Flachskampf,1.0
A. Armstrong,J. Afilalo,1.0
A. Armstrong,L. Badano,1.0
A. Armstrong,L. Ernande,1.0
A. Armstrong,P. Lancellotti,1.0
A. Armstrong,R. Lang,1.0
A. Armstrong,S. Goldstein,1.0
A. Armstrong,T. Kuznetsova,1.0
A. Armstrong,V. Mor-Avi,1.0
A. Ascherio,B. Hollis,1.0
A. Ascherio,K. Munger,1.0
A. Ascherio,L. Levin,1.0
A. Ascherio,Noel Howard,1.0
A. Asplund,Fredric Johansson,1.0
A. Asplund,Hanna Tegel,1.0
A. Asplund,J. Mulder,1.0
A. Asplund,Johan Rockberg,1.0
A. Asplund,T. Alm,1.0
A. Asplund,Åsa Sivertsson,1.0
A. Attwood,A. Duncanson,1.0
A. Attwood,D. Clayton,1.0
A. Attwood,D. Kwiatkowski,1.0
A. Attwood,J. Todd,1.0
A. Attwood,L. Cardon,1.0
A. Attwood,N. Craddock,1.0
A. Attwood,N. Samani,1.0
A. Attwood,P. Burton,1.0
A. Attwood,P. Deloukas,1.0
A. Attwood,W. Ouwehand,1.0
A. Auchincloss,A. D. Silva,1.0
A. Auchincloss,B. Bely,1.0
A. Auchincloss,Borisas Bursteinas,1.0
A. Auchincloss,C. Bonilla,1.0
A. Auchincloss,J. Arganiska,1.0
A. Auchincloss,M. Bingley,1.0
A. Auchincloss,M. D. Giorgi,1.0
A. Auchincloss,R. Antunes,1.0
A. Auchincloss,R. Britto,1.0
A. Auchincloss,Tunca Dogan,1.0
A. Azarbayejani,C. Wren,1.0
A. B. Hall,A. Ananthakrishnan,1.0
A. B. Hall,Cesar Arze,1.0
